label,meeting_date,meeting_no,ministry,topic,news_count,question_type,evidence_score,candidate_score,top_title,question_text
가능,2026-02-24,6,행정안전부,주변·전국·초등학교,1,검토결과 확인,4,0.588,민·관 합동 전국 6300여 초등학교 주변 위해요소 집중 점검,"불법 점용 전국 조사 결과가 835건이라는 것이 믿어지시는지? 제가 경기도에서 조사했을 때 이것보다 훨씬 많았던 것 같은데, 835건밖에 안 될 리가 없음. 지방정부에 다시 한번 기회를 줘서 추가 조사를 하게 하고, 그다음에 전국적으로 감찰을 해서 누락된 경우에는 담당 공무원과 지방정부에 대해서 엄중문책하고, 규모가 큰 경우에는 직무유기로 처벌하시기 바람."
가능,2026-01-27,3,국토교통부,20년·풀뿌리·정치,1,대안 요구,4,0.588,'20년 풀뿌리 정치' 신수정 광주시의장 출판기념회 성황,"많은 국민께서 기대하시는 것처럼 경제 상황이 조금씩 개선되고 있음. 코스피·코스닥을 포함해서 자본시장도 또 주식시장도 정상화의 길을 제대로 가고 있는 것 같음. 오랜 시간 홀대받은 우리 자본시장이 미래 혁신산업 성장, 건전한 국민 자산 증식을 위한 든든한 토대로 거듭나고 있음. 자본시장 정상화 발목을 잡는 여러 가지 불합리한 제도들도 계속해서 신속히 개선해 나감으로써 생산적 금융으로의 전환을 한층 가속화해야 되겠음. 주식시장의 흐름이 경제 체질의 구조적 변화로 이어지려면 국민의 삶과 직결된 실물 경제의 안정적인 성장도 뒷받침돼야 되겠음. 이는 성장의 기회와 과실이 국민 경제 전반으로 널리 확산하고, 특히 중소기업과 벤처·스타트업 등이 혁신과 도전을 선도하는 새로운 핵심적인 경제 주체로 거듭나야 가능한 일임. 정부는 대·중소기업 상생 성장 기반 강화 또 벤처·스타트업 창업 활성화, 재도전 친화형 생태계 구축에 정책적인 역량을 집중해 주시기 바람. 거기에 더해서 우리 사회의 심각한 문제"
가능,2025-09-16,42,고용노동부,금정구·일구day·취업박람회,1,대안 요구,4,0.588,"부산 금정구, 하반기 '일구Day 취업박람회'…30개 기업·128명 채용 예정","세종 회의는 처음인데, 빨리 대통령 제2집무실을 지어서 세종으로 옮겨야 할 것 같음. 너무 여유 있고 좋음. 세종시는 지역 균형발전의 상징 같은 곳임. 우리 정부 출범 이후에 세종에서 처음으로 국무회의를 개최함. 오늘 이곳에 와보니까 말씀드린 것처럼 허허벌판이었던 세종을 오늘날의 모습으로 키워낸 우리의 성과 그리고 이를 위해서 애쓴 여러 공직자 여러분의 노고에 감사하는 마음이 듦. 공직자 얘기가 나와서 그런데, 그 사회의 운명을 결정하는 것은 여러 요소가 있지만 그중에 가장 큰 게 역시 공직자들인 것 같음. 국민으로부터 권한을 위임받아서 소위 권력이라고 하는 것을 가지고 그 사회의 주요한 문제에 대한 의사결정을 함. 공직자들이 바른 마음으로 열성을 다하고 유능하면 전혀 다른 세상을 만들 수도 있지만 반대로 보면 공직자 몇몇에 의해서 그 나라 운명이 판이하게 바뀌기도, 망하기도 함. 우리 세종의 모습을 보니까 지방 분권도 균형발전도 어느 정도 진척이 있는 것 같고, 또 어쩌면 서울에서"
가능,2025-09-02,40,금융위원회,금융위원회·협업체계·구축,1,대안 요구,4,0.588,금융위원회-전북도 협업체계 구축 협약 체결,"금융 지원도 강화하고 외교 공관들 역할을 수출 첨단 교두보처럼 운영해 보는 것도 좋을 것 같음. 수출 기업들 지원하는 KOTRA 그리고 해외 대사관, 영사관, 문화원들을 잘 활용하는 것이 중요할 것 같음."
가능,2025-08-29,39,행정안전부,폐지된·경찰국·3년,1,부처협의 확인,4,0.588,3년 만에 폐지된 행안부 경찰국,"법무부 검찰개혁 관련해서 말이 많던데, 의견 조정을 하라고 했는데 실질적인 안을 도출하는 것이 아니고 샅바 싸움하듯이 “법무부 소속이냐, 행안부 소속이냐?” 그렇고, “행안부” 하면 나쁜 사람 이렇게 가고 있던데 그렇게 하면 안 되고 토론 문화를 정착시켜야 함. 좀 부딪히는 문제가 있는데, 이 쟁점을 뽑아서 원활하게 제대로 수사가 잘 되게 하는 방법이 뭐냐?, 지휘에 문제가 있으면 지휘를 잘하자는 취지고 악용 안 되게 하자는 것임. 그러면 악용되는 것을 어떻게 막을지를 논쟁해야 함. “구체적 통제 방법이 뭐냐?” 아이디어를 내서 정말로 행안부에 소속하는 것이 문제가 되면 그 문제 되는 원인을 제거하는 방법이 뭔지를 놓고 토론을 해봐야 함. 발생이 의심되는 문제들을 예방하는 방법이 무엇인지 법무부가 안을 냈어야 하는 것임."
가능,2025-08-29,39,행정안전부,행정안전부·행안부·차관,1,부처협의 확인,4,0.588,"행안부 차관, 신규 공무원 축하 인사말","법무부 검찰개혁 관련해서 말이 많던데, 의견 조정을 하라고 했는데 실질적인 안을 도출하는 것이 아니고 샅바 싸움하듯이 “법무부 소속이냐, 행안부 소속이냐?” 그렇고, “행안부” 하면 나쁜 사람 이렇게 가고 있던데 그렇게 하면 안 되고 토론 문화를 정착시켜야 함. 좀 부딪히는 문제가 있는데, 이 쟁점을 뽑아서 원활하게 제대로 수사가 잘 되게 하는 방법이 뭐냐?, 지휘에 문제가 있으면 지휘를 잘하자는 취지고 악용 안 되게 하자는 것임. 그러면 악용되는 것을 어떻게 막을지를 논쟁해야 함. “구체적 통제 방법이 뭐냐?” 아이디어를 내서 정말로 행안부에 소속하는 것이 문제가 되면 그 문제 되는 원인을 제거하는 방법이 뭔지를 놓고 토론을 해봐야 함. 발생이 의심되는 문제들을 예방하는 방법이 무엇인지 법무부가 안을 냈어야 하는 것임."
가능,2025-07-22,32,행정안전부,도시·기획·고양시에,1,대안 요구,4,0.588,[기획] 고양시에 22개국 220개 지방정부 한자리,"산재사고도 매우 원시적이고, 특히 돈 벌겠다고 사람 목숨 희생시키는 것은 아예 상상을 못 하게 만들어야 되는데, 노동부에서 할 수 있는 일이 꽤 많이 있을 것임. 지금 산업안전보건 관리를 할 선제적 대응 인력 300명을 뽑으라고 지시해 놓은 상태이고, 지방정부 공무원들한테도 특사경 권한 부여가 필요한지 정리해서 특히 공장이나 건설이 많은 지역에는 지방공무원들도 담당하게 하고, 대신 사고 예방이 가능한데 사고가 난 경우는 책임을 물을 수 있는 근거를 만들어야 함. 노동부 장관이 각별히 노동문제에 관심이 높으실 테니까, “산재 사망률 1위” 이런 소리는 앞으로 안 나오도록 최대한 대처해 주시기 바람."
가능,2025-06-19,26,행정안전부,업무·대해·대변인은,1,대안 요구,4,0.588,"[국정기획위] 오늘 첫 업무보고에서 ""잠재성장률 제고 논의""","성남시에서 하던 것이 있으니까, 시행령이나 지침이나 근거를 만들어서 하면 될 것 같은데, 행안부에서 챙겨주시기 바람. 그리고 방송개혁안은 지금 논의 안 하는지? 가능하면 정치나 방송이 관여하지 않게 자율적이거나 민간 통제하에 있게 만들어야 하지 않을까 싶음."
가능,2025-06-10,25,기획재정부,대선·박찬대·경제,1,대안 요구,4,0.588,"박찬대 ""경제 회복 위한 추경 편성…물가 관리 TF 구성""","탄소배출권 제도로 하면 기업의 입장에서는 이해관계가 조성되는데, 물가 오르는 것에 대한 부담은 국민들이 질 것으로 생각함. 거기에 대해서 국민들의 부담을 지원해 주는 것은 없는지?"
가능,2025-06-05,24,행정안전부,고기동·행안부·직무대행,1,검토결과 확인,4,0.588,"고기동 행안부 장관 직무대행, 투·개표 지원상황실 직원 격려",건설 현장에서 하도급업체에 대금 미지급이 문제가 많은 것 알고 있는데 그중에 제일 큰 게 인건비라고 알고 있음. 민간 부문에서는 아직도 이런 문제가 많이 발생하는 것 같은데 표준 약관이라도 만들어서 인건비는 직접 지급할 수 있게 하는 부분을 검토해 주시기 바람. 그리고 현재 공정위 직원이 많이 부족한 것으로 알고 있는데 행안부 등 관계 부처에서는 공정거래위원회에서 공정거래 사건을 원활히 처리할 수 있도록 인력 문제 등에도 협조를 부탁드림.
가능,2026-02-24,6,행정안전부,산불·행정안전부·행안부,2,현황 질문,4,0.542,"행안부, 함양 산불 상황 회의","행안부 보고 관련해서, 현재 인구 감소 지역으로 지정이 됐는데, 그 후에 지방정부가 열심히 노력해서 인구 증가 지역으로 바뀌면 혹시 지정을 취소하는 불이익을 주는 것은 아닌지?"
가능,2025-12-02,52,기획재정부,여야·원내대표단·구윤철,2,예산/재정 확인,4,0.542,여야 원내대표단 회동 참석한 구윤철 부총리,"가혹하게 처벌하는 것이 능사는 아님. 본인이 인정하고 시켜서 했다고 하면 굳이 처벌하고 그럴 필요는 없는데, 내란을 부화수행했는데 모른 척하고 있으면 단죄해야 함. 이렇게 분명하게 하자는 것임. 약간 벗어난 것인데, 이번에 농어촌 기본소득 예산이 국회에서 증액된 것 같은데 합의된 것인지?"
가능,2025-10-14,45,법무부,캄보디아·한국인·범죄,2,현황 질문,4,0.542,캄보디아 한국인 실종·납치·감금 신고 486건..정부 전방위 대응,"63명은 구금 시설에 들어가 있는데, 이 사람들은 범죄 현장에서 체포된 사람들인지?"
가능,2025-10-14,45,법무부,캄보디아·한국인·범죄,2,현황 질문,4,0.542,캄보디아 한국인 실종·납치·감금 신고 486건..정부 전방위 대응,"강제로 했냐, 자발적으로 했냐의 차이는 있겠지만 범죄 행위에 가담한 사람들인지?"
가능,2025-10-14,45,법무부,캄보디아·한국인·범죄,2,현황 질문,4,0.542,캄보디아 한국인 실종·납치·감금 신고 486건..정부 전방위 대응,"대한민국 국민 중에 캄보디아에 가서 이런 범죄 행위에 가담하고 있는 사람이 자의든, 타의든 대략 얼마쯤 되는지?"
가능,2026-03-24,11,행정안전부,대전·윤호중·안정공업,1,예산/재정 확인,4,0.508,대전 안정공업 합동분향소 찾은 윤호중 장관,"중동 전쟁의 확대 및 장기화로 원유·천연가스의 수급 불안이 커지고 있음. 국제에너지기구는 이번 사태가 역사상 최악의 에너지 안보 위협이라며 세계 경제에 미칠 충격을 경고하고 있음. 비단, 에너지만이 아님. 배달 용기부터 의료 도구까지 우리 일상에 석유화학 제품이 쓰이지 않는 곳이 없기 때문에 언제, 어디서, 어떤 문제가 벌어질지 예측하기가 어려운 상황임. 민생과 경제 산업 전반에 발생할지 모를 중대한 위기에 대처하기 위해서 정부 차원의 비상 대응 체계를 선제적으로 가동해야겠음. 각 부처는 수급 우려 품목을 포괄적이고 꼼꼼하게 점검하시고, 또 그것들이 국민의 일상에 미칠 영향 그리고 대체 공급처는 어디인지 등을 세밀하게 파악해서 최악의 상황까지 가정한 대비책을 철저하게 수립·시행해 주시기 바람. 오는 27일에 석유 최고가격 2차 고시가 예정돼 있음. 그간 국제유가가 큰 폭으로 올라 가격 인상이 불가피한 상황이지만, 국민 삶에 미칠 충격을 조금이라도 덜기 위한 구체적 방안을 신속하게 마"
가능,2026-03-24,11,기획재정부,유가·물가·2차,1,예산/재정 확인,4,0.508,유가→물가 '2차 충격' 현실화하나…중동 리스크에 민생 압박 확산,"지금 일정한 예산을 편성해 놓은 것 같은데, 이 중에 상당 부분을 직접 지원하는 것 같음. 직접 지원을 하면 재정에 한계가 있으니, 이것을 2차 보전과 지급보증 재원으로 바꾸면 확 늘어날 수 있다는 것임."
가능,2026-03-10,9,기획재정부,가격·교란·집중,1,예산/재정 확인,4,0.508,"경찰, 석유 가격 교란 집중 단속…중동 대사관 경비 강화","대내외적으로 여러 가지 어려움들이 닥치고 있음. 우리는 자주 위기를 겪고 있고, “위기는 기회다.” 이런 말도 자주 함. 위기가 닥쳤을 때 그 위기를 제대로 이겨내지 못하는 것은 무능한 것임. 위기를 극복하는 것은 당연한 것임. 위기를 기회로 만드는 것이 진짜 실력임. 위기가 닥치면 변화를 수용할 마음의 준비가 갖춰지고, 소위 말하는 기득권도 저항하기가 쉽지 않게 됨. 그래서 지금 이 위기 상황을 기회 요인으로 바꾸는 것, 이것이 정말 우리가 해야 할 일임. 현 상황이라고 하는 것은 매우 복합적이어서 그 안에 위기적 요인과 기회적 요인이 뒤섞여 있는데 기회적 요인, 즉 좋은 측면이 많은 것을 보통 우리는 기회라고 말하고, 나쁜 측면이 많은 것을 위기라고 말함. 국면이라고 하는 것은 우리가 어쩔 수 없는 외부 요인, 어쩌면 자연재해 비슷한 것일지도 모름. 그런데 이 중에 나쁜 요인을 최소화하고, 좋은 측면을 최대한 키우면 위기 상황이 기회 상황이 되기도 하는 것임. 우리는 권한이라고 "
가능,2026-03-10,9,기획재정부,이장우·소비·예산,1,예산/재정 확인,4,0.508,"""예산 즉각 집행""…이장우 시장, 민생경제 회복에 행정력 집중",현재 예산 편성 등 추가하거나 변경할 부분들이 있는지?
가능,2026-03-05,8,행정안전부,모바일·신분증·nh농협은행,1,예산/재정 확인,4,0.508,"NH농협은행, 모바일 신분증 서비스 모든 휴대폰으로 확대","화석연료에 의존하는 게 바람직하지도 않을 뿐만 아니라 대외적 불안정 요소가 크니까 의존도를 최소화해야 한다는 것을 우리 모두 느끼고 있는 것 같음. 이럴 때 정부·민간, 산업·경제계 모두 근본적인 사고의 전환을 해야 할 것 같음. 수도권 집중으로 지방에서 생산한 전기를 수도권으로 옮기기 위해 송전망을 대대적으로 건설한다고 하니까 주민들은 반대 시위하고 또 국토 불균형은 점점 악화되고, 생산 비용은 올라가서 산업 발전도 지체되고, 모두 문제임. 그리고 지방에서 생산한 에너지를 수도권으로 끌고 오면 엄청난 비용이 발생하는데, 수도·전기 요금이 전국적으로 똑같다 보니까 생산 지역에서는 손해를 보는 상황이고 또 집중적으로 사용하는 지역은 이익을 보는 측면이 있음. 그래서 전기 요금 차등제 같은 현실적인 고민도 해야 할 것 같음. 기업들은 지방에서 수도권으로 전기 끌어오는 비용을 국민 세금으로 부담하니까 혜택을 보는데, 계속 이렇게 갈 수는 없을 것 같음. 공정하지 않고, 국가 발전에도 저해"
가능,2026-02-10,5,행정안전부,산불·강훈식·위안부,1,예산/재정 확인,4,0.508,"강훈식 ""위안부·강제동원 부정하는 책이 공공도서 유통…가볍게 볼 수...","행안부는 빠르게 인력을 배치해 주시고, 예산도 챙겨줘서 속도를 내주시기 바람. 그리고 검찰도 마약 추적해서 잡는 조직이 있는지? - 검찰총장직무대행 구자현 그러함. 관세청을 통해 문제가 있는 우편물이 들어오게 되면 수사 기관과 연계하여 ‘통제배달’해서 유통하고 투약하는 사람들을 적발해서 처벌하고 있음. 전체적으로 봤을 때 유통 쪽은 검찰이 강점이 있고, 투약 쪽은 경찰이 많이 하고 있음."
가능,2025-07-22,32,기획재정부,동두천시·지역경제·중장기발전종합계획,1,예산/재정 확인,4,0.508,"동두천시 중장기발전종합계획, 지역경제 중장기 성장 전략 가동","전략 작물 직불금 대상은 그런 데를 골라서 해야 함. 일률적으로 저지대, 평야 지대에 하니까 당연히 물에 잠기는 것임. 정책을 설계할 때 좀 더 세밀하게 하면 예산을 줄일 수 있지 않나 생각함. 그리고 시도별로 면적 대비 퍼센트로 균일하게 배분하여 정하는지?"
가능,2025-07-08,30,기획재정부,거제시·주요·07,1,예산/재정 확인,4,0.508,"거제시, 남부내륙철도 등 주요 현안사업 국비 확보 위해 기재부 방문","조금 더 검토해 주시고, 다음 얘기가 사실 그런 주제와 관련이 있어 보임. ㅇ 조달청차장 백승보 이어서 보고드림. 중소‧벤처‧창업 기업의 성장을 촉진하는 혁신조달을 강화하도록 하겠음. 조달청은 정부가 위험을 감수하고 상용화 이전 제품들을 선도적으로 구매하는 것이 굉장히 중요하다는 생각을 해왔고 그에 따라 혁신조달 제도를 2019년도에 도입해 지금 운영하고 있음. 그래서 AI나 로봇, 기후테크 등의 신성장 산업이나 스타트업을 중심으로 혁신조달을 발전시켜 나가고자 함. 먼저 조달청 예산으로 혁신 제품을 구매하여 수요기관이 무상으로 테스트할 기회를 주고 그 결과에 따라 제품 개선이나 상용화를 돕는 국내 시범 구매와 함께 혁신 제품을 해외 공공기관에 실증할 수 있는 기회를 주어 그것들을 주변 국가로 연계 수출하도록 하는 해외 실증을 중점적으로 확대해 나가도록 하겠음. 이 혁신조달이 기업 성장과 우리 경제 성장 잠재력 강화 측면에서 매우 실효성 있는 정책이라고 저희들은 판단하고 있고 그에 따"
약함,2026-01-20,2,고용노동부,국민취업지원제도·남원시·남원고용센터,1,현황 질문,3,0.608,"남원시·남원고용센터, 국민취업지원제도 협업 강화","고용노동부는 “청년의 구직활동과 지역 일자리 기회 확대”, 구직 촉진 수당을 구직하기 전에 준다는 것인지?"
약함,2026-03-10,9,기획재정부,이장우·소비·예산,1,대안 요구,3,0.588,"""예산 즉각 집행""…이장우 시장, 민생경제 회복에 행정력 집중","이번에 야당이 대미 투자 관련 법 처리에 협조를 해주셔서 제 시간 안에 처리됐다고 들었음. 상황이 여러 가지 어려운 점이 있었을 텐데, 그럼에도 불구하고 우리 야당이 이렇게 협조해 주신 점에 대해 감사드림. 우리가 정치적 의제를 놓고 경쟁하고 심하게 다투는 경우가 있더라도, 중요한 국가적 의제에 대해서는 협력하는 모범적인 모습을 보여주셔서 감사드림. 앞으로도 그랬으면 좋겠고 우리도 노력해야 함. 그리고 지금 정확하게 판단이 안 서서 그러는데, 유류세를 내리는 것과 유류세를 안 내리고 직접 지원하는 것을 비교했을 때 후자가 양극화 완화라는 측면과 소득 재분배, 소비 진작 효과는 있는데, 반면 물가가 올라 국민 경제에 부담을 주는 결과가 있을 것임. 우리 사회의 복지적 측면에서는 유익한 것이 분명한데, 경제적 측면에서는 어떨지 모르겠음."
약함,2026-02-24,6,국토교통부,부동산·구윤철·부총리,1,대안 요구,3,0.588,"구윤철 부총리 ""대미투자특별법 제정 통해 통상 불확실성 해소""","또 한 가지는, 지금 농촌으로 복귀하려고 해도 산골짜기에 버려지다시피 한 밭도 5만 원부터 심하게는 30만 원씩하고 그러니 농사를 지을 수가 없음. 이것이 전부 부동산값이 비정상적으로 높아져서 생긴 문제임. 정말로 수요가 있어서 경쟁이 치열해 땅값이 오른 경우는 자본주의 시장 경제에서 정상적인 모습인데, 오로지 땅이라는 이유로 시골에 있는 야산 같은 곳도 1만 원짜리가 없다고 함. 이러니까 다시 귀농‧귀촌을 하려고 해도 가서 터를 잡기가 어려움. 부동산 가격을 잡는 것이 근본적인 대책이긴 한데, 농지들에 대한 이런 부분들도 검토를 한번 해 봐야 함. “부동산을 투기나 투자용으로 보유하는 것은 있으나 마나다.” 이런 생각이 들도록 만들지 않으면, 우리 사회의 정상적인 발전이 불가능하니 그런 근본적인 부분도 고민해야 함."
약함,2025-12-30,56,법무부,통관·우편·온라인까지,1,대안 요구,3,0.588,"통관·우편·온라인까지 마약 검사망 넓힌다…정부, 특별단속서 478명 구...","12.29 여객기 참사가 어제로 1주기를 맞았음. 참사로 희생되신 백일흔아홉 분의 명복을 빔. 어떤 말로도 아픔을 온전하게 덜 수는 없겠지만, 국민 안전의 최종 책임자로서 유가족 여러분께 거듭 깊은 위로와 사죄의 말씀을 드림. 지금 가장 필요한 일은 국가의 존재 이유가 무엇인가를 묻는 피해자들의 호소에 말이 아닌 책임 있는 행동으로 답하는 것임. 정부는 독립적이고 객관적인 진상 조사를 위한 제도 개선을 최대한 서둘러 주시고, 유가족들에 대한 지원 대책도 세심하게 살펴봐 주시기 바람. 국가 제1의 책무는 국민의 생명과 안전을 지키는 것임. 전 부처는 다시는 이러한 비극이 반복되지 않도록 구조적 안전 문제를 근본부터 점검하고 철저하게 보완해 주시기를 바람. 오늘은 청와대로 옮긴 후 첫 번째 열리는 국무회의임. 공간이 좀 여유가 있다 보니까 마음에도 좀 여유가 생기는 것 같음. 회의를 좀 더 길게 해도 괜찮을 것 같음. 먼저 복귀 작업을 차질 없이 준비해 준 공직자 여러분 그리고 응원해 "
