gold_label,gold_reason,draft_label,meeting_date,meeting_no,ministry,topic,top_title,question_type,question_text
gold_negative_v1,draft에서 우연으로 판정됨,우연,2025-06-05,24,행정안전부,고기동·행안부·직무대행,"고기동 행안부 장관 직무대행, 투·개표 지원상황실 직원 격려",검토결과 확인,건설 현장에서 하도급업체에 대금 미지급이 문제가 많은 것 알고 있는데 그중에 제일 큰 게 인건비라고 알고 있음. 민간 부문에서는 아직도 이런 문제가 많이 발생하는 것 같은데 표준 약관이라도 만들어서 인건비는 직접 지급할 수 있게 하는 부분을 검토해 주시기 바람. 그리고 현재 공정위 직원이 많이 부족한 것으로 알고 있는데 행안부 등 관계 부처에서는 공정거래위원회에서 공정거래 사건을 원활히 처리할 수 있도록 인력 문제 등에도 협조를 부탁드림.
gold_negative_v1,draft에서 우연으로 판정됨,우연,2025-06-19,26,기획재정부,김민석·공직·기강,"김민석, 공직 기강 다잡기…""3년간 후진…100일간 전속력 달려야""",예산/재정 확인,"제가 일반적인 말씀을 하나 드리고 싶음. 우리가 행정을 하다 보면 대개 행정 공급자 중심의 사고를 하는 경향들이 많이 있음. 그런데 그것은 악의가 있는 것이 아니고 오랫동안 일을 하다 보면 아주 자연스럽게 되는 것 같음. 똑같은 정책을 결정하더라도 정책 수요자들의 입장을 물어보고 그들이 원하는 내용을 들어보고 결정하는 것과 우리가 일방적으로 정해서 통보하는 것은 내용은 똑같지만, 수용성에 있어서는 완전히 다름. 예를 들어, 정책 수요자들한테 어떤 제재나 불이익을 주는 내용도 미리 한 번 의논하고 의견을 듣는 것과, 일방적으로 통보하여 시행하는 것은 수용성에 있어 큰 차이가 있음. 요즘은 결과도 중요하지만, 그 결과에 이르는 과정들을 매우 중시하는 사회 문화 때문임. 요즘은 상품의 본질적 내용도 중요하지만, 그것을 어떻게 포장하느냐, 스토리를 어떻게 부여하느냐에 따라서 완전히 다른 결과를 만들어냄. 우리가 가난했던 시절에는 밥 많이 주면 좋아했지만, 이제는 어떤 정도 여유가 갖춰지다 보니 어떤 방식으로 주느냐, 어떻게 처리해서 주느냐, 어떻게 포장해서 주느냐 등이 더 중요해진 측면이 있음. 그것이 어쩌면 민주주의에 대한 수요일 수 있음. 내 의견이 존중받았느냐 아니면 무시당했느냐가 결과보다 더 중요한 시대가 된 것임. 오늘 정책안들도 보면 대체로 잘 준비해 주셨지만, 그 정책의 영향이 어디에, 어떻게 미칠지에 대해서 방향이 조금 다르게 느껴지는 정책들도 있었음. 제가 공개적으로 말씀드리지는 않겠지만, 그런 점들을 좀 더 깊이 생각해 주시면 좋겠음. 그리고 계속 강조하는 것인데, 우리가 쓰는 시간의 양은 곱하기 "
gold_negative_v1,draft에서 우연으로 판정됨,우연,2025-06-19,26,행정안전부,업무·대해·대변인은,"[국정기획위] 오늘 첫 업무보고에서 ""잠재성장률 제고 논의""",대안 요구,"성남시에서 하던 것이 있으니까, 시행령이나 지침이나 근거를 만들어서 하면 될 것 같은데, 행안부에서 챙겨주시기 바람. 그리고 방송개혁안은 지금 논의 안 하는지? 가능하면 정치나 방송이 관여하지 않게 자율적이거나 민간 통제하에 있게 만들어야 하지 않을까 싶음."
gold_negative_v1,draft에서 우연으로 판정됨,우연,2025-07-08,30,기획재정부,거제시·주요·07,"거제시, 남부내륙철도 등 주요 현안사업 국비 확보 위해 기재부 방문",예산/재정 확인,"조금 더 검토해 주시고, 다음 얘기가 사실 그런 주제와 관련이 있어 보임. ㅇ 조달청차장 백승보 이어서 보고드림. 중소‧벤처‧창업 기업의 성장을 촉진하는 혁신조달을 강화하도록 하겠음. 조달청은 정부가 위험을 감수하고 상용화 이전 제품들을 선도적으로 구매하는 것이 굉장히 중요하다는 생각을 해왔고 그에 따라 혁신조달 제도를 2019년도에 도입해 지금 운영하고 있음. 그래서 AI나 로봇, 기후테크 등의 신성장 산업이나 스타트업을 중심으로 혁신조달을 발전시켜 나가고자 함. 먼저 조달청 예산으로 혁신 제품을 구매하여 수요기관이 무상으로 테스트할 기회를 주고 그 결과에 따라 제품 개선이나 상용화를 돕는 국내 시범 구매와 함께 혁신 제품을 해외 공공기관에 실증할 수 있는 기회를 주어 그것들을 주변 국가로 연계 수출하도록 하는 해외 실증을 중점적으로 확대해 나가도록 하겠음. 이 혁신조달이 기업 성장과 우리 경제 성장 잠재력 강화 측면에서 매우 실효성 있는 정책이라고 저희들은 판단하고 있고 그에 따라 지속적으로 확대해야 될 상황이라고 생각함. 다만, 이게 활성화가 되기 위해서는 적극적인 제품 발굴과 함께 구매 예산이 필수적으로 동반되어야 하는 사안이라 기재부 등 관계 부처의 적극적인 협조를 부탁드림."
gold_negative_v1,구체 사건/정책 객체 공유 부족: 구체 이슈어가 대표 기사와 대통령 발언에 함께 나타남: 지방정부,확정,2025-07-22,32,행정안전부,도시·기획·고양시에,[기획] 고양시에 22개국 220개 지방정부 한자리,대안 요구,"산재사고도 매우 원시적이고, 특히 돈 벌겠다고 사람 목숨 희생시키는 것은 아예 상상을 못 하게 만들어야 되는데, 노동부에서 할 수 있는 일이 꽤 많이 있을 것임. 지금 산업안전보건 관리를 할 선제적 대응 인력 300명을 뽑으라고 지시해 놓은 상태이고, 지방정부 공무원들한테도 특사경 권한 부여가 필요한지 정리해서 특히 공장이나 건설이 많은 지역에는 지방공무원들도 담당하게 하고, 대신 사고 예방이 가능한데 사고가 난 경우는 책임을 물을 수 있는 근거를 만들어야 함. 노동부 장관이 각별히 노동문제에 관심이 높으실 테니까, “산재 사망률 1위” 이런 소리는 앞으로 안 나오도록 최대한 대처해 주시기 바람."
gold_negative_v1,draft에서 우연으로 판정됨,우연,2025-07-22,32,기획재정부,동두천시·지역경제·중장기발전종합계획,"동두천시 중장기발전종합계획, 지역경제 중장기 성장 전략 가동",예산/재정 확인,"전략 작물 직불금 대상은 그런 데를 골라서 해야 함. 일률적으로 저지대, 평야 지대에 하니까 당연히 물에 잠기는 것임. 정책을 설계할 때 좀 더 세밀하게 하면 예산을 줄일 수 있지 않나 생각함. 그리고 시도별로 면적 대비 퍼센트로 균일하게 배분하여 정하는지?"
gold_negative_v1,draft에서 우연으로 판정됨,우연,2025-08-29,39,행정안전부,폐지된·경찰국·3년,3년 만에 폐지된 행안부 경찰국,부처협의 확인,"법무부 검찰개혁 관련해서 말이 많던데, 의견 조정을 하라고 했는데 실질적인 안을 도출하는 것이 아니고 샅바 싸움하듯이 “법무부 소속이냐, 행안부 소속이냐?” 그렇고, “행안부” 하면 나쁜 사람 이렇게 가고 있던데 그렇게 하면 안 되고 토론 문화를 정착시켜야 함. 좀 부딪히는 문제가 있는데, 이 쟁점을 뽑아서 원활하게 제대로 수사가 잘 되게 하는 방법이 뭐냐?, 지휘에 문제가 있으면 지휘를 잘하자는 취지고 악용 안 되게 하자는 것임. 그러면 악용되는 것을 어떻게 막을지를 논쟁해야 함. “구체적 통제 방법이 뭐냐?” 아이디어를 내서 정말로 행안부에 소속하는 것이 문제가 되면 그 문제 되는 원인을 제거하는 방법이 뭔지를 놓고 토론을 해봐야 함. 발생이 의심되는 문제들을 예방하는 방법이 무엇인지 법무부가 안을 냈어야 하는 것임."
gold_negative_v1,draft에서 우연으로 판정됨,우연,2025-08-29,39,행정안전부,행정안전부·행안부·차관,"행안부 차관, 신규 공무원 축하 인사말",부처협의 확인,"법무부 검찰개혁 관련해서 말이 많던데, 의견 조정을 하라고 했는데 실질적인 안을 도출하는 것이 아니고 샅바 싸움하듯이 “법무부 소속이냐, 행안부 소속이냐?” 그렇고, “행안부” 하면 나쁜 사람 이렇게 가고 있던데 그렇게 하면 안 되고 토론 문화를 정착시켜야 함. 좀 부딪히는 문제가 있는데, 이 쟁점을 뽑아서 원활하게 제대로 수사가 잘 되게 하는 방법이 뭐냐?, 지휘에 문제가 있으면 지휘를 잘하자는 취지고 악용 안 되게 하자는 것임. 그러면 악용되는 것을 어떻게 막을지를 논쟁해야 함. “구체적 통제 방법이 뭐냐?” 아이디어를 내서 정말로 행안부에 소속하는 것이 문제가 되면 그 문제 되는 원인을 제거하는 방법이 뭔지를 놓고 토론을 해봐야 함. 발생이 의심되는 문제들을 예방하는 방법이 무엇인지 법무부가 안을 냈어야 하는 것임."
gold_negative_v1,draft에서 우연으로 판정됨,우연,2025-09-02,40,금융위원회,금융위원회·협업체계·구축,금융위원회-전북도 협업체계 구축 협약 체결,대안 요구,"금융 지원도 강화하고 외교 공관들 역할을 수출 첨단 교두보처럼 운영해 보는 것도 좋을 것 같음. 수출 기업들 지원하는 KOTRA 그리고 해외 대사관, 영사관, 문화원들을 잘 활용하는 것이 중요할 것 같음."
gold_negative_v1,draft에서 우연으로 판정됨,우연,2025-09-16,42,고용노동부,금정구·일구day·취업박람회,"부산 금정구, 하반기 '일구Day 취업박람회'…30개 기업·128명 채용 예정",대안 요구,"세종 회의는 처음인데, 빨리 대통령 제2집무실을 지어서 세종으로 옮겨야 할 것 같음. 너무 여유 있고 좋음. 세종시는 지역 균형발전의 상징 같은 곳임. 우리 정부 출범 이후에 세종에서 처음으로 국무회의를 개최함. 오늘 이곳에 와보니까 말씀드린 것처럼 허허벌판이었던 세종을 오늘날의 모습으로 키워낸 우리의 성과 그리고 이를 위해서 애쓴 여러 공직자 여러분의 노고에 감사하는 마음이 듦. 공직자 얘기가 나와서 그런데, 그 사회의 운명을 결정하는 것은 여러 요소가 있지만 그중에 가장 큰 게 역시 공직자들인 것 같음. 국민으로부터 권한을 위임받아서 소위 권력이라고 하는 것을 가지고 그 사회의 주요한 문제에 대한 의사결정을 함. 공직자들이 바른 마음으로 열성을 다하고 유능하면 전혀 다른 세상을 만들 수도 있지만 반대로 보면 공직자 몇몇에 의해서 그 나라 운명이 판이하게 바뀌기도, 망하기도 함. 우리 세종의 모습을 보니까 지방 분권도 균형발전도 어느 정도 진척이 있는 것 같고, 또 어쩌면 서울에서 근무하다가 세종으로 와서 자리 잡느라 애쓰시는 우리 공직자들 덕에 대한민국도 균형발전의 꿈을 현실로 조금씩 만들어가는 것 아닌지 그런 생각이 듦. 대한민국의 현재 최대 과제는 지속 성장하는 것이고, 지속 성장의 가장 큰 토대는 균형발전임. 과거에는 자원 부족 또는 기회 부족 때문에 부족한 자원을 한군데에 집중 투자하느라, 소위 불균형 성장 전략을 취하느라 수도권 일극체제가 됐음. 그게 상당한 효율을 가진 게 사실임. 그러나 이제는 수도권 집중이 한계로 작동하고 있음. 지금과 같은 방식으로 계속 수도권 집중이 일어나면 그야말로 수도"
gold_negative_v1,draft에서 우연으로 판정됨,우연,2025-09-30,44,보건복지부,서비스·복구·밤새워,"李대통령 ""밤새워 국민 서비스 복구…필요 예산 과감 지원"" 지시",예산/재정 확인,"특히 복지부는 기초지방정부의 창구 사무가 많은데, 필요하면 임시로 지원 요원을 뽑아서 하도록 하고, 그 예산 지원은 기재부가 잘 해주시기 바람. 환경부는 어떤지?"
gold_negative_v1,draft에서 우연으로 판정됨,우연,2025-12-02,52,기획재정부,여야·원내대표단·구윤철,여야 원내대표단 회동 참석한 구윤철 부총리,예산/재정 확인,"가혹하게 처벌하는 것이 능사는 아님. 본인이 인정하고 시켜서 했다고 하면 굳이 처벌하고 그럴 필요는 없는데, 내란을 부화수행했는데 모른 척하고 있으면 단죄해야 함. 이렇게 분명하게 하자는 것임. 약간 벗어난 것인데, 이번에 농어촌 기본소득 예산이 국회에서 증액된 것 같은데 합의된 것인지?"
gold_negative_v1,draft에서 우연으로 판정됨,우연,2026-01-27,3,국토교통부,20년·풀뿌리·정치,'20년 풀뿌리 정치' 신수정 광주시의장 출판기념회 성황,대안 요구,"많은 국민께서 기대하시는 것처럼 경제 상황이 조금씩 개선되고 있음. 코스피·코스닥을 포함해서 자본시장도 또 주식시장도 정상화의 길을 제대로 가고 있는 것 같음. 오랜 시간 홀대받은 우리 자본시장이 미래 혁신산업 성장, 건전한 국민 자산 증식을 위한 든든한 토대로 거듭나고 있음. 자본시장 정상화 발목을 잡는 여러 가지 불합리한 제도들도 계속해서 신속히 개선해 나감으로써 생산적 금융으로의 전환을 한층 가속화해야 되겠음. 주식시장의 흐름이 경제 체질의 구조적 변화로 이어지려면 국민의 삶과 직결된 실물 경제의 안정적인 성장도 뒷받침돼야 되겠음. 이는 성장의 기회와 과실이 국민 경제 전반으로 널리 확산하고, 특히 중소기업과 벤처·스타트업 등이 혁신과 도전을 선도하는 새로운 핵심적인 경제 주체로 거듭나야 가능한 일임. 정부는 대·중소기업 상생 성장 기반 강화 또 벤처·스타트업 창업 활성화, 재도전 친화형 생태계 구축에 정책적인 역량을 집중해 주시기 바람. 거기에 더해서 우리 사회의 심각한 문제라고 할 수 있는 국토 균형발전도 지속적으로 추진해나가야 되겠음. 국민 모두의 성장으로 향하는 길은 일부 대기업과 특정 지역, 특정 부문만이 아니라 모든 경제 주체가 함께할 때, 보다 넓고 단단해질 수 있다는 점을 생각해 주시기 바람. 요즘 부동산 문제가 논란이 되고 있음. 경제 구조의 대전환을 통한 모두의 성장을 제대로 실현하기 위해서는 부동산에 비정상적으로 집중된 우리 사회의 자원 배분 왜곡을 반드시 바로 잡아야 함. 비생산적인 부동산의 과도한 팽창은 필연적으로 거품을 키우게 됨. 그리고 성장 잠재력을 훼손할 뿐 아니라 자칫 국"
gold_negative_v1,구체 사건/정책 객체 공유 부족: 구체 이슈어가 대표 기사와 대통령 발언에 함께 나타남: 유통,확정,2026-02-10,5,행정안전부,산불·강훈식·위안부,"강훈식 ""위안부·강제동원 부정하는 책이 공공도서 유통…가볍게 볼 수...",예산/재정 확인,"행안부는 빠르게 인력을 배치해 주시고, 예산도 챙겨줘서 속도를 내주시기 바람. 그리고 검찰도 마약 추적해서 잡는 조직이 있는지? - 검찰총장직무대행 구자현 그러함. 관세청을 통해 문제가 있는 우편물이 들어오게 되면 수사 기관과 연계하여 ‘통제배달’해서 유통하고 투약하는 사람들을 적발해서 처벌하고 있음. 전체적으로 봤을 때 유통 쪽은 검찰이 강점이 있고, 투약 쪽은 경찰이 많이 하고 있음."
gold_negative_v1,draft에서 우연으로 판정됨,우연,2026-02-24,6,행정안전부,주변·전국·초등학교,민·관 합동 전국 6300여 초등학교 주변 위해요소 집중 점검,검토결과 확인,"불법 점용 전국 조사 결과가 835건이라는 것이 믿어지시는지? 제가 경기도에서 조사했을 때 이것보다 훨씬 많았던 것 같은데, 835건밖에 안 될 리가 없음. 지방정부에 다시 한번 기회를 줘서 추가 조사를 하게 하고, 그다음에 전국적으로 감찰을 해서 누락된 경우에는 담당 공무원과 지방정부에 대해서 엄중문책하고, 규모가 큰 경우에는 직무유기로 처벌하시기 바람."
gold_negative_v1,draft에서 우연으로 판정됨,우연,2026-02-24,6,행정안전부,산불·행정안전부·행안부,"행안부, 함양 산불 상황 회의",현황 질문,"행안부 보고 관련해서, 현재 인구 감소 지역으로 지정이 됐는데, 그 후에 지방정부가 열심히 노력해서 인구 증가 지역으로 바뀌면 혹시 지정을 취소하는 불이익을 주는 것은 아닌지?"
gold_negative_v1,draft에서 우연으로 판정됨,우연,2026-03-05,8,국토교통부,전북·고창군·교통,"'이 대통령 전북 방문' 고창군 ""교통·에너지 현안 국가계획 반영 기대...",대안 요구,"제가 해외에 나가 있는 며칠 사이 많은 일들이 벌어진 것 같음. 우리 대한민국은 지금까지 수없이 많은 위기 상황을 슬기롭게 극복해 왔음. 우리 국민의 단합된 힘으로 또 대한민국의 저력으로 지금의 혼란도 큰 무리 없이 잘 이겨낼 것이고, 넘어진 김에 쉬어간다고 오히려 좋은 기회로 만들 수 있을 것임. 중동 지역 위기가 고조되면서 글로벌 경제 안보 환경이 많이 악화되고 있음. 세계 각국 금융시장이 불확실성에 직면한 가운데 에너지 수급, 수출입 불안으로 경제 산업과 경제 전반에 상당한 어려움이 예상됨. 각 부처는 엄중한 상황 인식을 바탕으로 예상 가능한 모든 문제에 대해서 신속히 대처하고 빠짐없이 세밀하게 추진해 나가야겠음. 첫째, 주식 환율 등 금융시장 변동성 확대에 적극적으로 대응해야 함. 정부는 자본시장 안정과 체질 개선을 위한 정책적 노력을 가속화하고 자본시장 불안을 사전 차단하기 위해 마련된 100조 원 규모 시장 안정 프로그램을 적절하게 또 신속하게 집행하고 관리해 주시기 바람. 이럴 때 기승을 부리는 게 가짜뉴스인데, 시세 교란 같은 범죄행위도 철저히 차단하길 바람. 특히, 국민 경제의 혼란을 조장해서 이익을 취하려는 세력들에 대해서는 무관용의 원칙으로 엄중하게 책임을 물어야겠음. 둘째, 민생과 산업 경제 전반에 걸쳐서 직접적인 영향을 미치는 에너지 수급과 가격 불안정 역시 각별하게 신경을 써야 하겠음. 원유, 가스, 나프타 등에 대한 긴급 수급 안정책과 함께 중장기적으로 수입처를 다각화하는 방안을 신속하게 추진해 주시기 바람. 어려운 시장 환경을 악용해서 매점매석이나 불합리한 폭리를 취하려는 시도는 "
gold_negative_v1,draft에서 우연으로 판정됨,우연,2026-03-05,8,행정안전부,모바일·신분증·nh농협은행,"NH농협은행, 모바일 신분증 서비스 모든 휴대폰으로 확대",예산/재정 확인,"화석연료에 의존하는 게 바람직하지도 않을 뿐만 아니라 대외적 불안정 요소가 크니까 의존도를 최소화해야 한다는 것을 우리 모두 느끼고 있는 것 같음. 이럴 때 정부·민간, 산업·경제계 모두 근본적인 사고의 전환을 해야 할 것 같음. 수도권 집중으로 지방에서 생산한 전기를 수도권으로 옮기기 위해 송전망을 대대적으로 건설한다고 하니까 주민들은 반대 시위하고 또 국토 불균형은 점점 악화되고, 생산 비용은 올라가서 산업 발전도 지체되고, 모두 문제임. 그리고 지방에서 생산한 에너지를 수도권으로 끌고 오면 엄청난 비용이 발생하는데, 수도·전기 요금이 전국적으로 똑같다 보니까 생산 지역에서는 손해를 보는 상황이고 또 집중적으로 사용하는 지역은 이익을 보는 측면이 있음. 그래서 전기 요금 차등제 같은 현실적인 고민도 해야 할 것 같음. 기업들은 지방에서 수도권으로 전기 끌어오는 비용을 국민 세금으로 부담하니까 혜택을 보는데, 계속 이렇게 갈 수는 없을 것 같음. 공정하지 않고, 국가 발전에도 저해됨. 원칙대로 생산비가 저렴한 곳에서 쓰는 건 저렴하게, 송전 비용을 포함해서 비싼 곳에서 쓰는 건 제대로 가격을 책정해서 해야겠다는 생각임. 산업·경제 관련 부처들은 이번 위기를 기회로 활용하는 게 중요함. 위기를 위기로 방치하고 끌려다니면 낙후할 수밖에 없음. 위기는 모든 사람과 모든 나라가 겪는 상황이기 때문에 위기를 기회로 누가 더 빨리 전환하느냐에 따라 경쟁의 판도가 바뀌는 것임. 이번 기회에 우리의 의식도 바꾸고, 신속하고 과감하게 전환해 나가야겠음. 그리고 경제 분야 중에 심리에 크게 영향을 받는 게 금융 분야인 것 같"
gold_negative_v1,draft에서 우연으로 판정됨,우연,2026-03-10,9,기획재정부,이장우·소비·예산,"""예산 즉각 집행""…이장우 시장, 민생경제 회복에 행정력 집중",예산/재정 확인,현재 예산 편성 등 추가하거나 변경할 부분들이 있는지?
